./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-1.cnf 1/1(100%) (0/1(0%)) 37.751s loops=1.0 updates=314979181.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-10.cnf 1/1(100%) (0/1(0%)) 36.480s loops=1.0 updates=302349984.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-100.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-11.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-12.cnf 1/1(100%) (0/1(0%)) 14.379s loops=0.0 updates=133683079.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-13.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.167
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-14.cnf 1/1(100%) (0/1(0%)) 49.726s loops=1.0 updates=424650516.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-15.cnf 1/1(100%) (0/1(0%)) 45.106s loops=1.0 updates=388506769.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-16.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-17.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-18.cnf 1/1(100%) (1/1(100%)) 2.524s loops=0.0 updates=23121006.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-19.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-2.cnf 1/1(100%) (0/1(0%)) 11.462s loops=0.0 updates=107368111.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-20.cnf 1/1(100%) (1/1(100%)) 1.003s loops=0.0 updates=9113927.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-21.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.400
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-22.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-23.cnf 1/1(100%) (1/1(100%)) 2.160s loops=0.0 updates=19771229.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-24.cnf 1/1(100%) (0/1(0%)) 48.664s loops=1.0 updates=415463716.000 factor=1.000
