./ms_crafted/set-covering/scpclr/scpclr10_maxsat.cnf 1/1(100%) (0/1(0%)) 4.117s loops=270.0 updates=1968803.000
./ms_crafted/set-covering/scpclr/scpclr11_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpclr/scpclr12_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpclr/scpclr13_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpcyc/scpcyc06_maxsat.cnf 1/1(100%) (0/1(0%)) 16.233s loops=3.0 updates=7666480.000
./ms_crafted/set-covering/scpcyc/scpcyc07_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpcyc/scpcyc08_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpcyc/scpcyc09_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpcyc/scpcyc10_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
./ms_crafted/set-covering/scpcyc/scpcyc11_maxsat.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0
Overall: 2/10(20%) (0/10(0%)) 10.175s 136.500 loops 4817641.500 updates
