./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-1.cnf 1/1(100%) (0/1(0%)) 19.448s loops=0.0 updates=180303742.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-10.cnf 1/1(100%) (0/1(0%)) 45.999s loops=0.0 updates=431952767.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-100.cnf 1/1(100%) (0/1(0%)) 55.411s loops=1.0 updates=681807383.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-11.cnf 1/1(100%) (1/1(100%)) 2.225s loops=0.0 updates=20232653.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-12.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.286
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-13.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-14.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.167
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-15.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-16.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-17.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-18.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.286
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-19.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-2.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.167
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-20.cnf 1/1(100%) (1/1(100%)) 1.134s loops=0.0 updates=9913824.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-21.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.600
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-22.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.167
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-23.cnf 1/1(100%) (0/1(0%)) 24.915s loops=0.0 updates=231196161.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-24.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-3.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.333
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-4.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-5.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-6.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-7.cnf 1/1(100%) (0/1(0%)) 40.533s loops=0.0 updates=460186229.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-8.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.500
./ms_random/highgirth/3sat/HG-3SAT-V250-C1000-9.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-1.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-10.cnf 1/1(100%) (0/1(0%)) 13.200s loops=0.0 updates=120148073.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-100.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-11.cnf 1/1(100%) (0/1(0%)) 6.028s loops=0.0 updates=54693012.000 factor=1.000
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-12.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.125
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-13.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-14.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.143
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-15.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.125
./ms_random/highgirth/3sat/HG-3SAT-V300-C1200-16.cnf 0/1(0%) (0/1(0%)) 0.000s loops=0.0 updates=0.0 factor=1.286
